feature,coefficient,odds_ratio
categorical__occr_country_NO,-0.020266438379610684,0.979937545549316
categorical__reporter_country_NO,-0.020266438379610684,0.979937545549316
categorical__occr_country_PL,-0.020581130591496324,0.9796292153526975
categorical__occr_country_ZA,-0.020952064518860326,0.9792659050267151
categorical__occr_country_HU,-0.0209521135037004,0.9792658570575324
bool__indi_soc_injury_poisoning_and_procedural_complications,-0.021017446727890396,0.9792018805516701
categorical__reporter_country_PL,-0.02176823054869404,0.978466987529867
bool__is_eszopiclone,-0.022358893103764342,0.9778892143702439
bool__indi_soc_ear_and_labyrinth_disorders,-0.0225107790503963,0.9777406980202769
categorical__reporter_country_BE,-0.023034770387294852,0.977228504568966
categorical__rpsr_cod_HP|OTH,-0.023484674097676517,0.9767889447260862
categorical__rpsr_cod_CSM|FGN,-0.02408699096801986,0.9762007854128326
categorical__drug_n_bucket_10-19,-0.02428788339016542,0.9760046937698726
categorical__reporter_country_RU,-0.024448933112580375,0.9758475211415091
categorical__occr_country_RU,-0.024448933112580375,0.9758475211415091
categorical__occr_country_BE,-0.024623064248938606,0.9756776104975364
categorical__occr_country_KR,-0.02604346662641459,0.9742927394698222
categorical__reporter_country_KR,-0.02737751052281843,0.9729938567633275
categorical__reporter_country_FR,-0.027464192448832324,0.9729095194371373
bool__indi_soc_hepatobiliary_disorders,-0.027968051152387312,0.9724194339852759
categorical__reporter_country_TR,-0.029409075990887084,0.9710191625827105
categorical__rpsr_cod_CR|HP,-0.03027883088506626,0.970174981082425
categorical__occr_country_SE,-0.030605527010617833,0.9698580804429223
categorical__reporter_country_RO,-0.03147051719323894,0.9690195254480071
categorical__reporter_country_ES,-0.03163139402328586,0.9688636451975958
categorical__occr_country_RO,-0.031650498245704754,0.9688451359878271
bool__indi_dizziness_vertigo,-0.034318387790851945,0.966263809057302
categorical__reporter_country_ITALY,-0.03540633609924417,0.9652131356236041
categorical__quarter_Q3,-0.035428388577304536,0.9651918505168027
bool__indi_soc_respiratory_thoracic_and_mediastinal_disorders,-0.03564490573845616,0.9649828925396724
categorical__occr_country_TR,-0.03627389616729676,0.9643761183838431
categorical__reporter_country_CH,-0.03706565367866128,0.9636128685426018
categorical__distinct_drug_n_bucket_5-9,-0.0371448315183052,0.963536574777845
categorical__reporter_country_GERMANY,-0.0393492469483734,0.9614148792932906
bool__has_start_dt,-0.039415561514221424,0.9613511255968932
categorical__occr_country_FR,-0.03966896458690503,0.9611075471308084
categorical__reporter_country_IN,-0.04152230329308032,0.9593279389306859
bool__indi_soc_skin_and_subcutaneous_tissue_disorders,-0.04189290945427619,0.9589724719591043
categorical__occr_country_DK,-0.04313886951169158,0.9577783746161573
categorical__distinct_drug_n_bucket_3-4,-0.043493153741320525,0.9574391089443385
categorical__cns_coprescription_bucket_3+,-0.045593398979577926,0.955430362183653
categorical__reporter_country_DK,-0.0457112333890551,0.9553177862439185
categorical__reporter_country_PT,-0.04684213119909145,0.9542380301135658
categorical__occr_country_MX,-0.047175836569298954,0.9539196488841782
bool__is_zolpidem,-0.04781927648952726,0.9533060563275385
categorical__occr_country_PT,-0.04809708958522095,0.9530412522056162
categorical__occr_country_ES,-0.04965853923781029,0.9515542874858461
numeric__indi_unmapped_n,-0.051337141670427876,0.9499583459944807
bool__indi_soc_congenital_familial_and_genetic_disorders,-0.05239263029202676,0.9489562047366749
bool__indi_soc_general_disorders_and_administration_site_conditions,-0.05455245008002063,0.946908842110783
categorical__reporter_country_MX,-0.05494804901821427,0.9465343200634243
categorical__reporter_country_SE,-0.06125612114846783,0.9405823059027802
numeric__zdrug_count,-0.0652313907668943,0.9368506597025724
categorical__reporter_country_GR,-0.06603467033474675,0.9360984088838102
categorical__occr_country_GR,-0.06679042845619818,0.9353912121773066
categorical__reporter_country_JAPAN,-0.06692019437996406,0.9352698381478528
categorical__reporter_country_NL,-0.07711961230380276,0.9257791124111747
bool__high_drug_burden_10,-0.0783821261368952,0.9246110409836883
categorical__occr_country_NL,-0.09335493639727718,0.9108701419471414
bool__indi_soc_eye_disorders,-0.09791236914813736,0.9067283576509527
bool__indi_depression,-0.10080793883973763,0.9041066599859371
bool__indi_soc_reproductive_system_and_breast_disorders,-0.10359218244955298,0.901592907868301
bool__has_rpsr,-0.104922959726901,0.9003938865052367
categorical__age_group_65-74,-0.10555414835743,0.8998257474413978
bool__indi_soc_immune_system_disorders,-0.10786353292101025,0.8977501014052982
categorical__drug_n_bucket_2,-0.1096898589595862,0.896112013315749
bool__indi_soc_metabolism_and_nutrition_disorders,-0.11417637420074968,0.8921005984758783
bool__polypharmacy_5,-0.11552695765520622,0.8908965554311955
bool__indi_soc_gastrointestinal_disorders,-0.1220179902374728,0.8851324446165167
bool__indi_soc_blood_and_lymphatic_system_disorders,-0.12572439478580574,0.8818578579181303
categorical__rpsr_cod_CSM,-0.1258319630398145,0.8817630031098447
categorical__occr_country_CN,-0.12611518971892877,0.8815132996657159
bool__indi_epilepsy,-0.12634919401805736,0.8813070458969305
categorical__quarter_Q4,-0.12756648811170365,0.880234888732957
categorical__reporter_country_CN,-0.1313572461097083,0.8769044477244741
bool__is_opioid,-0.15235232662445203,0.8586856896083125
numeric__log_distinct_drug_n,-0.16632877867228324,0.8467677892290507
categorical__occr_country_IT,-0.16780028974621558,0.8455226773727681
