dataset,metric,value,column,n_rows,missing_n,blank_n,missing_or_blank_rate
demo_v2_2008q2,,,event_date_known,14880.0,0.0,0.0,0.0
demo_v2_2008q3,n_rows,14397.0,,,,,
demo_v2_2008q3,unique_caseid,14397.0,,,,,
demo_v2_2008q3,duplicate_caseid_rows,0.0,,,,,
demo_v2_2008q3,,,caseid,14397.0,0.0,0.0,0.0
demo_v2_2008q3,,,age_years,14397.0,0.0,0.0,0.0
demo_v2_2008q3,,,age_group,14397.0,0.0,0.0,0.0
demo_v2_2008q3,,,rept_cod,14397.0,0.0,0.0,0.0
demo_v2_2008q3,,,e_sub,14397.0,0.0,0.0,0.0
demo_v2_2008q3,,,reporter_country,14397.0,0.0,0.0,0.0
demo_v2_2008q3,,,occr_country,14397.0,0.0,0.0,0.0
demo_v2_2008q3,,,event_date_known,14397.0,0.0,0.0,0.0
demo_v2_2008q4,n_rows,14402.0,,,,,
demo_v2_2008q4,unique_caseid,14402.0,,,,,
demo_v2_2008q4,duplicate_caseid_rows,0.0,,,,,
demo_v2_2008q4,,,caseid,14402.0,0.0,0.0,0.0
demo_v2_2008q4,,,age_years,14402.0,0.0,0.0,0.0
demo_v2_2008q4,,,age_group,14402.0,0.0,0.0,0.0
demo_v2_2008q4,,,rept_cod,14402.0,0.0,0.0,0.0
demo_v2_2008q4,,,e_sub,14402.0,0.0,0.0,0.0
demo_v2_2008q4,,,reporter_country,14402.0,0.0,0.0,0.0
demo_v2_2008q4,,,occr_country,14402.0,0.0,0.0,0.0
demo_v2_2008q4,,,event_date_known,14402.0,0.0,0.0,0.0
demo_v2_2009q1,n_rows,13000.0,,,,,
demo_v2_2009q1,unique_caseid,13000.0,,,,,
demo_v2_2009q1,duplicate_caseid_rows,0.0,,,,,
demo_v2_2009q1,,,caseid,13000.0,0.0,0.0,0.0
demo_v2_2009q1,,,age_years,13000.0,0.0,0.0,0.0
demo_v2_2009q1,,,age_group,13000.0,0.0,0.0,0.0
demo_v2_2009q1,,,rept_cod,13000.0,0.0,0.0,0.0
demo_v2_2009q1,,,e_sub,13000.0,0.0,0.0,0.0
demo_v2_2009q1,,,reporter_country,13000.0,0.0,0.0,0.0
demo_v2_2009q1,,,occr_country,13000.0,0.0,0.0,0.0
demo_v2_2009q1,,,event_date_known,13000.0,0.0,0.0,0.0
demo_v2_2009q2,n_rows,13099.0,,,,,
demo_v2_2009q2,unique_caseid,13099.0,,,,,
demo_v2_2009q2,duplicate_caseid_rows,0.0,,,,,
demo_v2_2009q2,,,caseid,13099.0,0.0,0.0,0.0
demo_v2_2009q2,,,age_years,13099.0,0.0,0.0,0.0
demo_v2_2009q2,,,age_group,13099.0,0.0,0.0,0.0
demo_v2_2009q2,,,rept_cod,13099.0,0.0,0.0,0.0
demo_v2_2009q2,,,e_sub,13099.0,0.0,0.0,0.0
demo_v2_2009q2,,,reporter_country,13099.0,0.0,0.0,0.0
demo_v2_2009q2,,,occr_country,13099.0,0.0,0.0,0.0
demo_v2_2009q2,,,event_date_known,13099.0,0.0,0.0,0.0
demo_v2_2009q3,n_rows,12996.0,,,,,
demo_v2_2009q3,unique_caseid,12996.0,,,,,
demo_v2_2009q3,duplicate_caseid_rows,0.0,,,,,
demo_v2_2009q3,,,caseid,12996.0,0.0,0.0,0.0
demo_v2_2009q3,,,age_years,12996.0,0.0,0.0,0.0
demo_v2_2009q3,,,age_group,12996.0,0.0,0.0,0.0
demo_v2_2009q3,,,rept_cod,12996.0,0.0,0.0,0.0
demo_v2_2009q3,,,e_sub,12996.0,0.0,0.0,0.0
demo_v2_2009q3,,,reporter_country,12996.0,0.0,0.0,0.0
demo_v2_2009q3,,,occr_country,12996.0,0.0,0.0,0.0
demo_v2_2009q3,,,event_date_known,12996.0,0.0,0.0,0.0
demo_v2_2009q4,n_rows,16107.0,,,,,
demo_v2_2009q4,unique_caseid,16107.0,,,,,
demo_v2_2009q4,duplicate_caseid_rows,0.0,,,,,
demo_v2_2009q4,,,caseid,16107.0,0.0,0.0,0.0
demo_v2_2009q4,,,age_years,16107.0,0.0,0.0,0.0
demo_v2_2009q4,,,age_group,16107.0,0.0,0.0,0.0
demo_v2_2009q4,,,rept_cod,16107.0,0.0,0.0,0.0
demo_v2_2009q4,,,e_sub,16107.0,0.0,0.0,0.0
demo_v2_2009q4,,,reporter_country,16107.0,0.0,0.0,0.0
demo_v2_2009q4,,,occr_country,16107.0,0.0,0.0,0.0
demo_v2_2009q4,,,event_date_known,16107.0,0.0,0.0,0.0
demo_v2_2010q1,n_rows,15060.0,,,,,
demo_v2_2010q1,unique_caseid,15060.0,,,,,
demo_v2_2010q1,duplicate_caseid_rows,0.0,,,,,
demo_v2_2010q1,,,caseid,15060.0,0.0,0.0,0.0
demo_v2_2010q1,,,age_years,15060.0,0.0,0.0,0.0
demo_v2_2010q1,,,age_group,15060.0,0.0,0.0,0.0
demo_v2_2010q1,,,rept_cod,15060.0,0.0,0.0,0.0
demo_v2_2010q1,,,e_sub,15060.0,0.0,0.0,0.0
demo_v2_2010q1,,,reporter_country,15060.0,0.0,0.0,0.0
demo_v2_2010q1,,,occr_country,15060.0,0.0,0.0,0.0
demo_v2_2010q1,,,event_date_known,15060.0,0.0,0.0,0.0
demo_v2_2010q2,n_rows,25897.0,,,,,
demo_v2_2010q2,unique_caseid,25897.0,,,,,
demo_v2_2010q2,duplicate_caseid_rows,0.0,,,,,
demo_v2_2010q2,,,caseid,25897.0,0.0,0.0,0.0
demo_v2_2010q2,,,age_years,25897.0,0.0,0.0,0.0
demo_v2_2010q2,,,age_group,25897.0,0.0,0.0,0.0
demo_v2_2010q2,,,rept_cod,25897.0,0.0,0.0,0.0
demo_v2_2010q2,,,e_sub,25897.0,0.0,0.0,0.0
demo_v2_2010q2,,,reporter_country,25897.0,0.0,0.0,0.0
demo_v2_2010q2,,,occr_country,25897.0,0.0,0.0,0.0
demo_v2_2010q2,,,event_date_known,25897.0,0.0,0.0,0.0
demo_v2_2010q3,n_rows,33616.0,,,,,
demo_v2_2010q3,unique_caseid,33616.0,,,,,
demo_v2_2010q3,duplicate_caseid_rows,0.0,,,,,
demo_v2_2010q3,,,caseid,33616.0,0.0,0.0,0.0
demo_v2_2010q3,,,age_years,33616.0,0.0,0.0,0.0
demo_v2_2010q3,,,age_group,33616.0,0.0,0.0,0.0
demo_v2_2010q3,,,rept_cod,33616.0,0.0,0.0,0.0
demo_v2_2010q3,,,e_sub,33616.0,0.0,0.0,0.0
demo_v2_2010q3,,,reporter_country,33616.0,0.0,0.0,0.0
demo_v2_2010q3,,,occr_country,33616.0,0.0,0.0,0.0
demo_v2_2010q3,,,event_date_known,33616.0,0.0,0.0,0.0
demo_v2_2010q4,n_rows,28310.0,,,,,
demo_v2_2010q4,unique_caseid,28310.0,,,,,
demo_v2_2010q4,duplicate_caseid_rows,0.0,,,,,
demo_v2_2010q4,,,caseid,28310.0,0.0,0.0,0.0
demo_v2_2010q4,,,age_years,28310.0,0.0,0.0,0.0
demo_v2_2010q4,,,age_group,28310.0,0.0,0.0,0.0
demo_v2_2010q4,,,rept_cod,28310.0,0.0,0.0,0.0
demo_v2_2010q4,,,e_sub,28310.0,0.0,0.0,0.0
demo_v2_2010q4,,,reporter_country,28310.0,0.0,0.0,0.0
demo_v2_2010q4,,,occr_country,28310.0,0.0,0.0,0.0
demo_v2_2010q4,,,event_date_known,28310.0,0.0,0.0,0.0
demo_v2_2011q1,n_rows,30705.0,,,,,
demo_v2_2011q1,unique_caseid,30705.0,,,,,
demo_v2_2011q1,duplicate_caseid_rows,0.0,,,,,
demo_v2_2011q1,,,caseid,30705.0,0.0,0.0,0.0
demo_v2_2011q1,,,age_years,30705.0,0.0,0.0,0.0
demo_v2_2011q1,,,age_group,30705.0,0.0,0.0,0.0
demo_v2_2011q1,,,rept_cod,30705.0,0.0,0.0,0.0
demo_v2_2011q1,,,e_sub,30705.0,0.0,0.0,0.0
demo_v2_2011q1,,,reporter_country,30705.0,0.0,0.0,0.0
demo_v2_2011q1,,,occr_country,30705.0,0.0,0.0,0.0
demo_v2_2011q1,,,event_date_known,30705.0,0.0,0.0,0.0
demo_v2_2011q2,n_rows,33625.0,,,,,
demo_v2_2011q2,unique_caseid,33625.0,,,,,
demo_v2_2011q2,duplicate_caseid_rows,0.0,,,,,
demo_v2_2011q2,,,caseid,33625.0,0.0,0.0,0.0
demo_v2_2011q2,,,age_years,33625.0,0.0,0.0,0.0
demo_v2_2011q2,,,age_group,33625.0,0.0,0.0,0.0
demo_v2_2011q2,,,rept_cod,33625.0,0.0,0.0,0.0
demo_v2_2011q2,,,e_sub,33625.0,0.0,0.0,0.0
demo_v2_2011q2,,,reporter_country,33625.0,0.0,0.0,0.0
demo_v2_2011q2,,,occr_country,33625.0,0.0,0.0,0.0
demo_v2_2011q2,,,event_date_known,33625.0,0.0,0.0,0.0
demo_v2_2011q3,n_rows,33043.0,,,,,
demo_v2_2011q3,unique_caseid,33043.0,,,,,
demo_v2_2011q3,duplicate_caseid_rows,0.0,,,,,
demo_v2_2011q3,,,caseid,33043.0,0.0,0.0,0.0
demo_v2_2011q3,,,age_years,33043.0,0.0,0.0,0.0
demo_v2_2011q3,,,age_group,33043.0,0.0,0.0,0.0
demo_v2_2011q3,,,rept_cod,33043.0,0.0,0.0,0.0
demo_v2_2011q3,,,e_sub,33043.0,0.0,0.0,0.0
demo_v2_2011q3,,,reporter_country,33043.0,0.0,0.0,0.0
demo_v2_2011q3,,,occr_country,33043.0,0.0,0.0,0.0
demo_v2_2011q3,,,event_date_known,33043.0,0.0,0.0,0.0
demo_v2_2011q4,n_rows,36268.0,,,,,
demo_v2_2011q4,unique_caseid,36268.0,,,,,
demo_v2_2011q4,duplicate_caseid_rows,0.0,,,,,
demo_v2_2011q4,,,caseid,36268.0,0.0,0.0,0.0
demo_v2_2011q4,,,age_years,36268.0,0.0,0.0,0.0
demo_v2_2011q4,,,age_group,36268.0,0.0,0.0,0.0
demo_v2_2011q4,,,rept_cod,36268.0,0.0,0.0,0.0
demo_v2_2011q4,,,e_sub,36268.0,0.0,0.0,0.0
demo_v2_2011q4,,,reporter_country,36268.0,0.0,0.0,0.0
demo_v2_2011q4,,,occr_country,36268.0,0.0,0.0,0.0
demo_v2_2011q4,,,event_date_known,36268.0,0.0,0.0,0.0
demo_v2_2012q1,n_rows,38630.0,,,,,
demo_v2_2012q1,unique_caseid,38630.0,,,,,
demo_v2_2012q1,duplicate_caseid_rows,0.0,,,,,
demo_v2_2012q1,,,caseid,38630.0,0.0,0.0,0.0
demo_v2_2012q1,,,age_years,38630.0,0.0,0.0,0.0
demo_v2_2012q1,,,age_group,38630.0,0.0,0.0,0.0
demo_v2_2012q1,,,rept_cod,38630.0,0.0,0.0,0.0
demo_v2_2012q1,,,e_sub,38630.0,0.0,0.0,0.0
demo_v2_2012q1,,,reporter_country,38630.0,0.0,0.0,0.0
demo_v2_2012q1,,,occr_country,38630.0,0.0,0.0,0.0
demo_v2_2012q1,,,event_date_known,38630.0,0.0,0.0,0.0
demo_v2_2012q2,n_rows,40245.0,,,,,
demo_v2_2012q2,unique_caseid,40245.0,,,,,
demo_v2_2012q2,duplicate_caseid_rows,0.0,,,,,
demo_v2_2012q2,,,caseid,40245.0,0.0,0.0,0.0
demo_v2_2012q2,,,age_years,40245.0,0.0,0.0,0.0
demo_v2_2012q2,,,age_group,40245.0,0.0,0.0,0.0
demo_v2_2012q2,,,rept_cod,40245.0,0.0,0.0,0.0
demo_v2_2012q2,,,e_sub,40245.0,0.0,0.0,0.0
demo_v2_2012q2,,,reporter_country,40245.0,0.0,0.0,0.0
demo_v2_2012q2,,,occr_country,40245.0,0.0,0.0,0.0
demo_v2_2012q2,,,event_date_known,40245.0,0.0,0.0,0.0
demo_v2_2012q3,n_rows,23694.0,,,,,
demo_v2_2012q3,unique_caseid,23694.0,,,,,
demo_v2_2012q3,duplicate_caseid_rows,0.0,,,,,
demo_v2_2012q3,,,caseid,23694.0,0.0,0.0,0.0
demo_v2_2012q3,,,age_years,23694.0,0.0,0.0,0.0
demo_v2_2012q3,,,age_group,23694.0,0.0,0.0,0.0
demo_v2_2012q3,,,rept_cod,23694.0,0.0,0.0,0.0
demo_v2_2012q3,,,e_sub,23694.0,0.0,0.0,0.0
demo_v2_2012q3,,,reporter_country,23694.0,0.0,0.0,0.0
demo_v2_2012q3,,,occr_country,23694.0,0.0,0.0,0.0
demo_v2_2012q3,,,event_date_known,23694.0,0.0,0.0,0.0
demo_v2_2012q4,n_rows,41488.0,,,,,
demo_v2_2012q4,unique_caseid,41488.0,,,,,
demo_v2_2012q4,duplicate_caseid_rows,0.0,,,,,
demo_v2_2012q4,,,caseid,41488.0,0.0,0.0,0.0
demo_v2_2012q4,,,age_years,41488.0,0.0,0.0,0.0
demo_v2_2012q4,,,age_group,41488.0,0.0,0.0,0.0
demo_v2_2012q4,,,rept_cod,41488.0,0.0,0.0,0.0
demo_v2_2012q4,,,e_sub,41488.0,0.0,0.0,0.0
demo_v2_2012q4,,,reporter_country,41488.0,0.0,0.0,0.0
demo_v2_2012q4,,,occr_country,41488.0,0.0,0.0,0.0
demo_v2_2012q4,,,event_date_known,41488.0,0.0,0.0,0.0
demo_v2_2013q1,n_rows,38693.0,,,,,
demo_v2_2013q1,unique_caseid,38693.0,,,,,
demo_v2_2013q1,duplicate_caseid_rows,0.0,,,,,
demo_v2_2013q1,,,caseid,38693.0,0.0,0.0,0.0
demo_v2_2013q1,,,age_years,38693.0,0.0,0.0,0.0
demo_v2_2013q1,,,age_group,38693.0,0.0,0.0,0.0
demo_v2_2013q1,,,rept_cod,38693.0,0.0,0.0,0.0
demo_v2_2013q1,,,e_sub,38693.0,0.0,0.0,0.0
demo_v2_2013q1,,,reporter_country,38693.0,0.0,0.0,0.0
demo_v2_2013q1,,,occr_country,38693.0,0.0,0.0,0.0
demo_v2_2013q1,,,event_date_known,38693.0,0.0,0.0,0.0
demo_v2_2013q2,n_rows,36871.0,,,,,
demo_v2_2013q2,unique_caseid,36871.0,,,,,
demo_v2_2013q2,duplicate_caseid_rows,0.0,,,,,
demo_v2_2013q2,,,caseid,36871.0,0.0,0.0,0.0
demo_v2_2013q2,,,age_years,36871.0,0.0,0.0,0.0
demo_v2_2013q2,,,age_group,36871.0,0.0,0.0,0.0
demo_v2_2013q2,,,rept_cod,36871.0,0.0,0.0,0.0
demo_v2_2013q2,,,e_sub,36871.0,0.0,0.0,0.0
